Carimbo de data/hora,Você é estudante da UFV em qual nível?,Marque o curso de graduação que você faz,Selecione o curso de mestrado que você faz,Selecione o curso de doutorado que você faz,Selecione o curso de pós-graduação lato-sensu (especialização) que você faz,"Em relação ao seu contato com ferramentas de Inteligência Artificial, como você se classificaria?","Em relação às ferramentas de IA listadas a seguir, marque o seu grau de contato com cada uma delas [ChatGPT]","Em relação às ferramentas de IA listadas a seguir, marque o seu grau de contato com cada uma delas [Gemini (Google)]","Em relação às ferramentas de IA listadas a seguir, marque o seu grau de contato com cada uma delas [Llama (Meta AI)]","Em relação às ferramentas de IA listadas a seguir, marque o seu grau de contato com cada uma delas [Midjourney]","Em relação às ferramentas de IA listadas a seguir, marque o seu grau de contato com cada uma delas [DALL-E]","Em relação às ferramentas de IA listadas a seguir, marque o seu grau de contato com cada uma delas [Deepseek]","Em relação às ferramentas de IA listadas a seguir, marque o seu grau de contato com cada uma delas [Outras]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Uso para organizar e orientar meus estudos]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Uso para conferir respostas a exercícios e atividades]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Incorporo soluções fornecidas pela ferramenta aos meus trabalhos e atividades]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Emprego respostas fornecidas pela IA aos meus trabalhos]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Uso para orientar a busca, coleta e análise de material de estudo ou pesquisa]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Uso para automatizar tarefas secundárias ou braçais durante meus estudos ou pesquisa]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Peço para a ferramenta fazer resumos de materiais que forneço a ela]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Faço análise de dados usando a ferramenta]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Uso para programar ou me auxiliar com programação]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Uso para correção ou revisão de textos]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Uso para produzir imagens a serem incluídas em meus trabalhos]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Uso para analisar imagens que forneço à ferramenta]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Uso para me auxiliar com matemática]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Uso para me auxiliar com estatística]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Faço apresentações de slides ou pôsteres usando a ferramenta]","Se você faz ou consegue imaginar usos que não foram contemplados na questão anterior, descreva-os aqui. Se for algo que já pratica, indique também a frequência de uso.",O que você entende por IA (Inteligência Artificial)?,"Em relação a IA e o futuro dos estudos e do trabalho, como você se sente?",Qual(is) tipo(s) de debate sobre o tema da Inteligência Artificial você gostaria de ver dentro da UFV?
27/03/2025 10:27:25,Estudante de graduação,Engenharia Ambiental,,,,Uso esporadicamente,Somente testei,Apenas ouvi falar,Desconheço,Desconheço,Desconheço,Desconheço,Desconheço,Esporadicamente,Esporadicamente,Nunca usei e não pretendo,Nunca usei e não pretendo,"Nunca usei, mas tenho curiosidade",Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,Esporadicamente,Nunca usei e não pretendo,Nunca usei e não pretendo,Esporadicamente,Esporadicamente,Nunca usei e não pretendo,,"É uma ferramenta que auxilia de diversas formas, com uma demanda imediata.","Acredito que é uma ameaça à qualidade do aprendizado humano, Acredito que é uma ameaça ao trabalho humano, Vejo com bons olhos a adoção de IA nas atividades humanas, mas mantendo certa desconfiança","Ética, Segurança e privacidade, Impacto na pesquisa, Impacto na qualidade de ensino, Eventos explicando melhor a tecnologia, em termos técnicos"
27/03/2025 10:32:55,Estudante de graduação,Administração,,,,Uso esporadicamente,Uso corriqueiramente,Apenas ouvi falar,Desconheço,Desconheço,Desconheço,Desconheço,Desconheço,"Nunca usei, mas tenho curiosidade",Esporadicamente,"Nunca usei, mas tenho curiosidade",Esporadicamente,"Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade",Esporadicamente,"Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade",Nunca usei e não pretendo,Nunca usei e não pretendo,"Nunca usei, mas tenho curiosidade",,É uma ferramenta que facilita muito a resolução de tarefas acadêmicas. Utilizo para exercícios que não vejo muito sentido em fazer.,"Acredito que é algo que veio para ficar, Acredito que é uma ameaça à qualidade do aprendizado humano","Ética, Eventos explicando melhor a tecnologia, em termos técnicos"
27/03/2025 10:39:33,Estudante de graduação,Ciência da Computação,,,,Uso corriqueiramente,Uso corriqueiramente,Somente testei,Somente testei,Somente testei,Somente testei,Somente testei,Uso corriqueiramente,Com frequência,Esporadicamente,"Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade",Nunca usei e não pretendo,Com frequência,Esporadicamente,Nunca usei e não pretendo,Esporadicamente,Com frequência,"Nunca usei, mas tenho curiosidade",Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,"Nunca usei, mas tenho curiosidade",,"IA é um agente inteligente para resolver um problema específico, sendo este de naturezas variadas desde um problema de busca simples até modelos de propósitos maiores como LLMs","Acredito que é algo que veio para ficar, Acredito que vai potencializar as habilidades e capacidades humanas, Vejo com bons olhos a adoção ampla de IA nas atividades humanas","Eventos explicando melhor a tecnologia, em termos técnicos"
27/03/2025 10:44:32,Estudante de graduação,Ciência da Computação,,,,Uso esporadicamente,Uso corriqueiramente,Uso corriqueiramente,Uso corriqueiramente,Somente testei,Somente testei,Uso corriqueiramente,Desconheço,Nunca usei e não pretendo,Esporadicamente,Esporadicamente,Esporadicamente,Esporadicamente,Esporadicamente,Esporadicamente,Nunca usei e não pretendo,Esporadicamente,Esporadicamente,Nunca usei e não pretendo,Esporadicamente,Nunca usei e não pretendo,Esporadicamente,Nunca usei e não pretendo,,Conjunto de técnicas utilizada para resolver problemas que não tem um algoritmo eficiente para resolvê-los. Essas técnicas tem o objetivo de fazer o computador ter um comportamento aproximado à inteligência humana.,"Acredito que é algo que veio para ficar, Acredito que vai potencializar as habilidades e capacidades humanas, Acredito que é uma ameaça à qualidade do aprendizado humano, Vejo com bons olhos a adoção de IA nas atividades humanas, mas mantendo certa desconfiança","Segurança e privacidade, Impacto na qualidade de ensino"
27/03/2025 10:56:35,Estudante de graduação,Ciência da Computação,,,,Uso corriqueiramente,Uso corriqueiramente,Somente testei,Somente testei,Somente testei,Somente testei,Apenas ouvi falar,Somente testei,Com frequência,Esporadicamente,Esporadicamente,Nunca usei e não pretendo,Com frequência,Com frequência,Com frequência,"Nunca usei, mas tenho curiosidade",Esporadicamente,Esporadicamente,Nunca usei e não pretendo,"Nunca usei, mas tenho curiosidade",Esporadicamente,"Nunca usei, mas tenho curiosidade",Nunca usei e não pretendo,"Costumo usar ferramentas de IA para pesquisar sobre alguns assuntos que não são encontrados com facilidade apenas ao pesquisar no Google ou em outras ferramentas de busca. Acredito que as respostas geradas por IA são muito boas nesse quesito pois elas respondem exatamente aquilo que você perguntou ao invés de tentar fornecer uma resposta minimamente relacionada com a sua pesquisa, como outras ferramentas de busca fazem. Faço esse tipo de uso de forma quase diária.",Entendo IA como sendo um algoritmo que tem a capacidade de se adaptar às mais diversas situações por meio de um processo de aprendizagem e testagem intenso e repetitivo.,"Acredito que é algo que veio para ficar, Acredito que vai potencializar as habilidades e capacidades humanas, Acredito que é uma ameaça ao trabalho humano, Vejo com bons olhos a adoção de IA nas atividades humanas, mas mantendo certa desconfiança","Ética, Segurança e privacidade, Impacto na qualidade de ensino, Eventos explicando melhor a tecnologia, em termos técnicos"
27/03/2025 11:14:27,Estudante de graduação,Ciência da Computação,,,,Uso esporadicamente,Somente testei,Apenas ouvi falar,Apenas ouvi falar,Apenas ouvi falar,Apenas ouvi falar,Apenas ouvi falar,Desconheço,"Nunca usei, mas tenho curiosidade",Esporadicamente,"Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade",Esporadicamente,"Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade",Esporadicamente,"Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade",,Prefiro não opinar,"Vejo com bons olhos a adoção de IA nas atividades humanas, mas mantendo certa desconfiança","Impacto na pesquisa, Impacto na qualidade de ensino, Eventos explicando melhor a tecnologia, em termos técnicos"
27/03/2025 11:15:05,Estudante de graduação,Engenharia Agrícola e Ambiental,,,,Incorporei ao meu dia-a-dia,Uso corriqueiramente,Uso corriqueiramente,Somente testei,Uso corriqueiramente,Somente testei,Apenas ouvi falar,Somente testei,Com frequência,Esporadicamente,"Nunca usei, mas tenho curiosidade",Nunca usei e não pretendo,Com frequência,Esporadicamente,Com frequência,Esporadicamente,Esporadicamente,Sempre,Esporadicamente,"Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade",Nunca usei e não pretendo,uso como agenda de compromissos e assistente pessoal para lembrar datas de trabalhos provas e estudos.,são redes neurais complexas que são previamente treinadas com um vasto banco de dados.,"Acredito que é algo que veio para ficar, Acredito que vai potencializar as habilidades e capacidades humanas, Vejo com bons olhos a adoção ampla de IA nas atividades humanas","Impacto na qualidade de ensino, Eventos explicando melhor a tecnologia, em termos técnicos"
27/03/2025 11:15:58,Estudante de doutorado,,,Ciência da Computação,,Uso esporadicamente,Uso corriqueiramente,Assino o serviço pago (se houver),Apenas ouvi falar,Apenas ouvi falar,Apenas ouvi falar,Somente testei,Uso corriqueiramente,"Nunca usei, mas tenho curiosidade",Nunca usei e não pretendo,"Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade",Nunca usei e não pretendo,Nunca usei e não pretendo,"Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade",Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,"Google Translator, I use it for day -to-day","A virtual assistant to computer machine
","Acredito que é algo que veio para ficar, Acredito que vai potencializar as habilidades e capacidades humanas, Acredito que é uma ameaça à qualidade do aprendizado humano, Acredito que é uma ameaça ao trabalho humano, Vejo com bons olhos a adoção ampla de IA nas atividades humanas, Vejo com bons olhos a adoção de IA nas atividades humanas, mas mantendo certa desconfiança","Ética, Segurança e privacidade, Impacto na pesquisa, Impacto na qualidade de ensino, Eventos explicando melhor a tecnologia, em termos técnicos"
27/03/2025 11:16:57,Estudante de graduação,Comunicação Social – Jornalismo,,,,Uso esporadicamente,Uso corriqueiramente,Apenas ouvi falar,Desconheço,Somente testei,Desconheço,Desconheço,Desconheço,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,Esporadicamente,"Nunca usei, mas tenho curiosidade",Com frequência,"Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade",Nunca usei e não pretendo,Com frequência,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,,"Inteligência artificial ->  uma ferramenta que dá respostas pensando de forma técnica, mas que nem sempre são respostas certas. Por isso mesmo comigo utilizando sim IA's eu confiro as fontes e leio o que ela escreveu. ","Vejo com bons olhos a adoção de IA nas atividades humanas, mas mantendo certa desconfiança","Ética, Impacto na qualidade de ensino, Eventos explicando melhor a tecnologia, em termos técnicos"
27/03/2025 11:16:59,Estudante de graduação,Matemática (Licenciatura - Noturno),,,,Uso corriqueiramente,Uso corriqueiramente,Uso corriqueiramente,Uso corriqueiramente,Apenas ouvi falar,Apenas ouvi falar,Somente testei,"Desconheço, Apenas ouvi falar",Com frequência,Sempre,Esporadicamente,Com frequência,Com frequência,Esporadicamente,Esporadicamente,"Nunca usei, mas tenho curiosidade",Esporadicamente,Sempre,Nunca usei e não pretendo,Esporadicamente,Com frequência,Nunca usei e não pretendo,Sempre,,"É a mais avançada tecnologia que temos, ela é o futuro e por isso necessita que a incorporamos no nosso dia a dia","Acredito que é algo que veio para ficar, Acredito que vai potencializar as habilidades e capacidades humanas, Acredito que é uma ameaça ao trabalho humano, Vejo com bons olhos a adoção de IA nas atividades humanas, mas mantendo certa desconfiança","Impactos ambientais, Ética, Impacto na pesquisa, Eventos explicando melhor a tecnologia, em termos técnicos"
27/03/2025 11:30:48,Estudante de graduação,Ciência da Computação,,,,Incorporei ao meu dia-a-dia,Uso corriqueiramente,Somente testei,Apenas ouvi falar,Somente testei,Apenas ouvi falar,Uso corriqueiramente,Somente testei,Sempre,Sempre,Sempre,Com frequência,Sempre,Com frequência,Sempre,Sempre,Sempre,Com frequência,Esporadicamente,Esporadicamente,Esporadicamente,Esporadicamente,"Nunca usei, mas tenho curiosidade",,Junção de informações coletadas para chegar a um resultado específico a partir da análise /aprendizado dessas informações por parte da máquina.,"Acredito que é algo que veio para ficar, Acredito que vai potencializar as habilidades e capacidades humanas, Vejo com bons olhos a adoção ampla de IA nas atividades humanas","Ética, Segurança e privacidade, Impacto na pesquisa, Impacto na qualidade de ensino, Eventos explicando melhor a tecnologia, em termos técnicos"
27/03/2025 11:34:01,Estudante de graduação,Ciência da Computação,,,,Incorporei ao meu dia-a-dia,Uso corriqueiramente,Somente testei,Apenas ouvi falar,"Apenas ouvi falar, Somente testei",Somente testei,Uso corriqueiramente,Somente testei,Esporadicamente,Esporadicamente,Nunca usei e não pretendo,Nunca usei e não pretendo,Esporadicamente,"Nunca usei, mas tenho curiosidade",Com frequência,Nunca usei e não pretendo,Com frequência,Esporadicamente,Nunca usei e não pretendo,Nunca usei e não pretendo,Esporadicamente,Nunca usei e não pretendo,Nunca usei e não pretendo,"
",Estudo/desenvolvimento de sistemas que mimicam atividades intelectuais,"Tenho receio ou medo desta tecnologia, Acredito que é algo que veio para ficar, Acredito que vai potencializar as habilidades e capacidades humanas, Acredito que é uma ameaça à qualidade do aprendizado humano, Acredito que é uma ameaça ao trabalho humano","Impactos ambientais, Ética, Segurança e privacidade, Impacto na qualidade de ensino"
27/03/2025 11:51:52,Estudante de graduação,Engenharia Civil,,,,Uso esporadicamente,Uso corriqueiramente,Uso corriqueiramente,Desconheço,Desconheço,Desconheço,Somente testei,Desconheço,Esporadicamente,Com frequência,Esporadicamente,Nunca usei e não pretendo,"Nunca usei, mas tenho curiosidade",Nunca usei e não pretendo,Esporadicamente,Nunca usei e não pretendo,Esporadicamente,Com frequência,Nunca usei e não pretendo,Esporadicamente,Esporadicamente,"Nunca usei, mas tenho curiosidade",Nunca usei e não pretendo,,"É uma ferramenta que se utiliza de várias informações dispostas na Internet para montar um banco de dados capaz de responder perguntas, fazer tarefas e agir como um “cérebro humano”.  ","Tenho receio ou medo desta tecnologia, Vejo com bons olhos a adoção de IA nas atividades humanas, mas mantendo certa desconfiança","Impactos ambientais, Ética, Segurança e privacidade, Impacto na pesquisa, Impacto na qualidade de ensino"
27/03/2025 12:12:25,Estudante de graduação,Ciência da Computação,,,,Uso corriqueiramente,Uso corriqueiramente,Apenas ouvi falar,Apenas ouvi falar,Somente testei,Somente testei,Somente testei,Uso corriqueiramente,Esporadicamente,Esporadicamente,Esporadicamente,Esporadicamente,Esporadicamente,Com frequência,Nunca usei e não pretendo,Nunca usei e não pretendo,Com frequência,Esporadicamente,"Nunca usei, mas tenho curiosidade",Nunca usei e não pretendo,Com frequência,Com frequência,Nunca usei e não pretendo,,"Neste caso entendo como uma IA generativa, que dado um prompt, da uma resposta com base no modelo gerado em seu treinamento e em ferramentas de pesquisa (como google). Muitas vezes tentando dar uma resposta ao prompt a todo custo, mesmo que incorreta, ou sem nuância.","Acredito que é algo que veio para ficar, Vejo com bons olhos a adoção de IA nas atividades humanas, mas mantendo certa desconfiança","Ética, Impacto na pesquisa, Impacto na qualidade de ensino, Eventos explicando melhor a tecnologia, em termos técnicos"
27/03/2025 12:13:19,Estudante de graduação,Ciência da Computação,,,,Incorporei ao meu dia-a-dia,Uso corriqueiramente,Apenas ouvi falar,Desconheço,Desconheço,Desconheço,Somente testei,Somente testei,Nunca usei e não pretendo,Esporadicamente,Esporadicamente,Nunca usei e não pretendo,"Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade",Esporadicamente,"Nunca usei, mas tenho curiosidade",Esporadicamente,Com frequência,Nunca usei e não pretendo,"Nunca usei, mas tenho curiosidade",Esporadicamente,Esporadicamente,"Nunca usei, mas tenho curiosidade",,Uma ferramenta que tenta resolver os problemas humanos usando as lógicas de reflexões humanas.,"Acredito que é algo que veio para ficar, Acredito que é uma ameaça à qualidade do aprendizado humano, Acredito que é uma ameaça ao trabalho humano, Vejo com bons olhos a adoção de IA nas atividades humanas, mas mantendo certa desconfiança","Impactos ambientais, Segurança e privacidade, Impacto na qualidade de ensino"
27/03/2025 12:26:08,Estudante de graduação,Engenharia Florestal,,,,Incorporei ao meu dia-a-dia,Uso corriqueiramente,Somente testei,Apenas ouvi falar,Somente testei,Desconheço,Uso corriqueiramente,Uso corriqueiramente,Sempre,Com frequência,Com frequência,Esporadicamente,Sempre,"Nunca usei, mas tenho curiosidade",Sempre,Esporadicamente,"Nunca usei, mas tenho curiosidade",Sempre,"Nunca usei, mas tenho curiosidade",Esporadicamente,Esporadicamente,Esporadicamente,Sempre,,"É uma inteligência que imita a inteligência humana tendo raciocínio lógico próprio e é alimentada com com dados, quanto mais dados fornecermos mais complexa e mais robusta a inteligência artificial fica.","Acredito que é algo que veio para ficar, Acredito que vai potencializar as habilidades e capacidades humanas, Vejo com bons olhos a adoção ampla de IA nas atividades humanas","Ética, Segurança e privacidade, Impacto na pesquisa, Impacto na qualidade de ensino, Eventos explicando melhor a tecnologia, em termos técnicos"
27/03/2025 13:24:37,Estudante de graduação,Comunicação Social – Jornalismo,,,,Incorporei ao meu dia-a-dia,Uso corriqueiramente,Somente testei,Somente testei,Somente testei,Somente testei,Uso corriqueiramente,Somente testei,"Nunca usei, mas tenho curiosidade",Esporadicamente,Com frequência,Com frequência,Com frequência,Com frequência,Esporadicamente,Esporadicamente,"Nunca usei, mas tenho curiosidade",Com frequência,Esporadicamente,"Nunca usei, mas tenho curiosidade",Esporadicamente,"Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade",,"Entendo que IA é um programa que utiliza de conhecimentos publicados na internet para criar um banco de dados que seria a inteligência dele. A internet possui uma quantidade infinita de conhecimentos, certos e errados, que são incorporados a esse banco de dados, portanto há que se fazer um uso crítico da IA.","Tenho receio ou medo desta tecnologia, Acredito que é algo que veio para ficar, Acredito que vai potencializar as habilidades e capacidades humanas, Vejo com bons olhos a adoção de IA nas atividades humanas, mas mantendo certa desconfiança","Ética, Impacto na pesquisa, Impacto na qualidade de ensino"
27/03/2025 13:49:31,Estudante de graduação,Engenharia de Agrimensura e Cartográfica,,,,Uso esporadicamente,Uso corriqueiramente,Somente testei,Somente testei,Desconheço,Desconheço,Somente testei,Desconheço,"Nunca usei, mas tenho curiosidade",Sempre,Esporadicamente,"Nunca usei, mas tenho curiosidade",Com frequência,Esporadicamente,Com frequência,Com frequência,"Nunca usei, mas tenho curiosidade",Sempre,Nunca usei e não pretendo,Nunca usei e não pretendo,Esporadicamente,Esporadicamente,Nunca usei e não pretendo,,"Um mecanismo que pode ajudá-lo no dia a dia, porém muitos os usam como uma muleta, atrapalhando o aprendizado e as habilidades e capacidades humanas",Acredito que é algo que veio para ficar,"Impacto na pesquisa, Impacto na qualidade de ensino, Eventos explicando melhor a tecnologia, em termos técnicos"
27/03/2025 14:06:42,Estudante de graduação,Ciência da Computação,,,,Uso corriqueiramente,Uso corriqueiramente,Somente testei,Apenas ouvi falar,Apenas ouvi falar,Apenas ouvi falar,Somente testei,Somente testei,Esporadicamente,Esporadicamente,Nunca usei e não pretendo,Nunca usei e não pretendo,Esporadicamente,Esporadicamente,"Nunca usei, mas tenho curiosidade",Esporadicamente,Esporadicamente,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,"Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade",Nunca usei e não pretendo,,Capacidade de raciocínio computacional semelhante ao humano,"Acredito que é algo que veio para ficar, Acredito que vai potencializar as habilidades e capacidades humanas, Acredito que é uma ameaça à qualidade do aprendizado humano, Acredito que é uma ameaça ao trabalho humano, Vejo com bons olhos a adoção de IA nas atividades humanas, mas mantendo certa desconfiança","Ética, Segurança e privacidade, Impacto na pesquisa, Impacto na qualidade de ensino"
27/03/2025 15:10:02,Outra situação,,,,,Incorporei ao meu dia-a-dia,Assino o serviço pago (se houver),Somente testei,Apenas ouvi falar,Desconheço,Apenas ouvi falar,Uso corriqueiramente,Uso corriqueiramente,Com frequência,Com frequência,Com frequência,"Nunca usei, mas tenho curiosidade",Com frequência,Com frequência,"Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade",Sempre,Sempre,"Nunca usei, mas tenho curiosidade",Com frequência,Com frequência,"Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade",,Modelos de Machine Learning (como redes neurais artificiais) e LLM's (Large Language Models),"Acredito que é algo que veio para ficar, Vejo com bons olhos a adoção ampla de IA nas atividades humanas","Ética, Impacto na pesquisa, Impacto na qualidade de ensino, Eventos explicando melhor a tecnologia, em termos técnicos"
27/03/2025 15:17:00,Estudante de mestrado (ou mestrado profissional),,Física,,,Incorporei ao meu dia-a-dia,Uso corriqueiramente,Uso corriqueiramente,Somente testei,Somente testei,Apenas ouvi falar,Uso corriqueiramente,Uso corriqueiramente,Com frequência,Esporadicamente,Com frequência,Esporadicamente,Esporadicamente,Sempre,Esporadicamente,Nunca usei e não pretendo,Sempre,Esporadicamente,Nunca usei e não pretendo,Nunca usei e não pretendo,Esporadicamente,Esporadicamente,Esporadicamente,"Organizar rotinas e tarefas de forma otimizada, pedir dicas de ferramentas, uso bastante também para me auxiliar em apresentação, por exemplo, faço sempre um resumo do que desejo falar em uma apresentação e peço que aponte erros ou inconsistências nas minhas falas para que eu possa melhorar, também peço que faça perguntas para mim para testar meu conhecimento e se eu consigo responder bem.","É uma área da ciência da computação que a partir de dados e features, consegue desenvolver sistemas capazes de reconhecer padrões e a partir disso aprender e tomar decisões. ","Vejo com bons olhos a adoção de IA nas atividades humanas, mas mantendo certa desconfiança","Ética, Segurança e privacidade, Impacto na pesquisa, Impacto na qualidade de ensino"
27/03/2025 15:29:36,Estudante de graduação,Física (Bacharelado/Licenciatura),,,,Uso esporadicamente,Uso corriqueiramente,Somente testei,Apenas ouvi falar,Apenas ouvi falar,Desconheço,Apenas ouvi falar,Somente testei,Com frequência,Esporadicamente,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,Esporadicamente,Nunca usei e não pretendo,Nunca usei e não pretendo,Esporadicamente,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,Esporadicamente,Esporadicamente,Nunca usei e não pretendo,"Não sei se enquadra em alguma das opções, mas me veio à mente pedir referência, como livros ou artigos, sobre quaisquer tópicos que eu esteja estudando ou, principalmente, escrevendo um relatório. Torna a busca mais fácil.","Uma máquina que aprende e aplica o que aprendeu, mas não consegue criar ou ""pensar"" coisas fora desse repertório.","Acredito que é algo que veio para ficar, Vejo com bons olhos a adoção de IA nas atividades humanas, mas mantendo certa desconfiança","Ética, Segurança e privacidade, Impacto na pesquisa, Impacto na qualidade de ensino, Eventos explicando melhor a tecnologia, em termos técnicos"
27/03/2025 15:46:22,Estudante de graduação,Ciência da Computação,,,,Uso esporadicamente,Uso corriqueiramente,Somente testei,Somente testei,Desconheço,Desconheço,Uso corriqueiramente,Uso corriqueiramente,Esporadicamente,Com frequência,Esporadicamente,Esporadicamente,Nunca usei e não pretendo,Esporadicamente,"Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade",Esporadicamente,Esporadicamente,Nunca usei e não pretendo,Nunca usei e não pretendo,Com frequência,Nunca usei e não pretendo,Nunca usei e não pretendo,,prefiro nao opinar,"Acredito que é algo que veio para ficar, Acredito que vai potencializar as habilidades e capacidades humanas, Acredito que é uma ameaça à qualidade do aprendizado humano, Vejo com bons olhos a adoção ampla de IA nas atividades humanas","Impacto na pesquisa, Impacto na qualidade de ensino"
27/03/2025 16:22:47,Estudante de graduação,Ciência da Computação,,,,Incorporei ao meu dia-a-dia,Uso corriqueiramente,Somente testei,Apenas ouvi falar,Apenas ouvi falar,Desconheço,Somente testei,Desconheço,Esporadicamente,Com frequência,Com frequência,Esporadicamente,Esporadicamente,Esporadicamente,"Nunca usei, mas tenho curiosidade",Nunca usei e não pretendo,Com frequência,Esporadicamente,Esporadicamente,Nunca usei e não pretendo,"Nunca usei, mas tenho curiosidade",Nunca usei e não pretendo,Nunca usei e não pretendo,,A inteligência artificial é um ramo da computação que engloba diversas formas de automatizar e otimizar tarefas. O formulário parece abordar mais o uso de modelos generativoa de inteligência artificial ,"Acredito que é uma ameaça ao trabalho humano, Vejo com bons olhos a adoção de IA nas atividades humanas, mas mantendo certa desconfiança","Impactos ambientais, Ética, Segurança e privacidade, Impacto na pesquisa, Impacto na qualidade de ensino, Eventos explicando melhor a tecnologia, em termos técnicos"
27/03/2025 16:27:22,Estudante de graduação,Ciência da Computação,,,,Incorporei ao meu dia-a-dia,Uso corriqueiramente,Somente testei,Apenas ouvi falar,Somente testei,Somente testei,Somente testei,Apenas ouvi falar,Com frequência,Com frequência,Esporadicamente,Esporadicamente,Sempre,Sempre,Esporadicamente,Nunca usei e não pretendo,Com frequência,Com frequência,Esporadicamente,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,,Entendo como um campo de estudo da área da Ciência da Computação em que o objetivo central é aproximar a forma como os computadores resolvem problemas do modo como os humanos operam.,"Acredito que é uma ameaça à qualidade do aprendizado humano, Vejo com bons olhos a adoção de IA nas atividades humanas, mas mantendo certa desconfiança","Impactos ambientais, Ética, Segurança e privacidade, Impacto na pesquisa, Impacto na qualidade de ensino"
